file,trueAzimuth,difference,tone,gainTest,recorder,wp,testTone,gainAdded,time
1a_pinknoise2_N_2,-180,5,y,n,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,-90,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,-45,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,0,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,90,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,135,5,y,n,2,n,pinknoise,n,pre
1b_bird_N_2,-180,0,y,n,2,n,bird,n,pre
1b_bird_N_2,-90,5,y,n,2,n,bird,n,pre
1b_bird_N_2,-45,5,y,n,2,n,bird,n,pre
1b_bird_N_2,0,0,y,n,2,n,bird,n,pre
1b_bird_N_2,90,0,y,n,2,n,bird,n,pre
1b_bird_N_2,90,0,echo,n,2,n,bird,n,pre
1b_bird_N_2,135,0,y,n,2,n,bird,n,pre
5a_pinknoise_Y_2,-180,5,y,n,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,-90,0,y,n,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,-45,0,y,n,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,0,-5,y,n,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,90,0,y,n,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,135,-175,echo,n,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,135,10,y,n,2,y,pinknoise,n,pre
5b_bird_Y_2,-180,10,y,n,2,y,bird,n,pre
5b_bird_Y_2,-180,10,echo,n,2,y,bird,n,pre
5b_bird_Y_2,-45,-5,y,n,2,y,bird,n,pre
5b_bird_Y_2,0,-5,y,n,2,y,bird,n,pre
5b_bird_Y_2,90,5,y,n,2,y,bird,n,pre
5b_bird_Y_2,135,10,y,n,2,y,bird,n,pre
7a_pinknoise_N_3,-180,0,y,n,3,n,pinknoise,n,pre
7a_pinknoise_N_3,-90,0,y,n,3,n,pinknoise,n,pre
7a_pinknoise_N_3,-45,5,y,n,3,n,pinknoise,n,pre
7a_pinknoise_N_3,0,0,y,n,3,n,pinknoise,n,pre
7a_pinknoise_N_3,90,-5,y,n,3,n,pinknoise,n,pre
7a_pinknoise_N_3,135,0,y,n,3,n,pinknoise,n,pre
1a_pinknoise_N_2,-180,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise_N_2,-90,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise_N_2,-45,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise_N_2,0,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise_N_2,90,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise_N_2,135,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,-180,5,y,y,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,-90,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,-45,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,0,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,90,0,y,y,2,n,pinknoise,n,pre
1a_pinknoise2_N_2,135,5,y,y,2,n,pinknoise,n,pre
1b_bird_N_2,-180,0,y,y,2,n,bird,n,pre
1b_bird_N_2,-90,5,y,y,2,n,bird,n,pre
1b_bird_N_2,-45,5,y,y,2,n,bird,n,pre
1b_bird_N_2,0,0,y,y,2,n,bird,n,pre
1b_bird_N_2,90,0,y,y,2,n,bird,n,pre
1b_bird_N_2,90,0,echo,y,2,n,bird,n,pre
1b_bird_N_2,135,0,y,y,2,n,bird,n,pre
5a_pinknoise_Y_2,-180,5,y,y,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,-90,0,y,y,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,-45,0,y,y,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,0,-5,y,y,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,90,0,y,y,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,135,10,y,y,2,y,pinknoise,n,pre
5a_pinknoise_Y_2,135,-175,echo,y,2,y,pinknoise,n,pre
5b_bird_Y_2,-180,10,y,y,2,y,bird,n,pre
5b_bird_Y_2,-180,10,y,y,2,y,bird,n,pre
5b_bird_Y_2,-45,-5,y,y,2,y,bird,n,pre
5b_bird_Y_2,0,-5,y,y,2,y,bird,n,pre
5b_bird_Y_2,90,5,y,y,2,y,bird,n,pre
5b_bird_Y_2,135,10,y,y,2,y,bird,n,pre
