filename,filename.short,distance.m,WP?,Test.tone,Trial,Threshold,True.azimuth,localised?,Start.time,Predicted.azimuth,Aliaized.Azimuth,error
localized_8m_wN_Pink_t01.wav,localized_8m_wN_Pink_t01.wav,8,n,pink,field,25,-155,a,na,na,30,na
localized_8m_wN_Pink_t02.wav,localized_8m_wN_Pink_t02.wav,8,n,pink,field,25,30,s,5.3,35,na,5
localized_8m_wN_Pink_t02.wav,localized_8m_wN_Pink_t02.wav,8,n,pink,field,25,30,y,15.7,35,na,5
localized_8m_wN_Pink_t02.wav,localized_8m_wN_Pink_t02.wav,8,n,pink,field,25,120,y,40.7,125,na,5
localized_8m_wN_Pink_t02.wav,localized_8m_wN_Pink_t02.wav,8,n,pink,field,25,-60,y,97.5,-65,na,-5
localized_8m_wN_Pink_t02.wav,localized_8m_wN_Pink_t02.wav,8,n,pink,field,25,165,a,na,na,-60,na
localized_8m_wN_Pink_t02.wav,localized_8m_wN_Pink_t02.wav,8,n,pink,field,25,-155,a,na,na,30,na
localized_8m_wY_Bird_t01.wav,localized_8m_wY_Bird_t01.wav,8,y,wren,field,25,30,s,6.9,30,na,0
localized_8m_wY_Bird_t01.wav,localized_8m_wY_Bird_t01.wav,8,y,wren,field,25,30,y,16.1,35,na,5
localized_8m_wY_Bird_t01.wav,localized_8m_wY_Bird_t01.wav,8,y,wren,field,25,120,y,31.9,120,na,0
localized_8m_wY_Bird_t01.wav,localized_8m_wY_Bird_t01.wav,8,y,wren,field,25,165,a,49.9,175,85,10
localized_8m_wY_Bird_t01.wav,localized_8m_wY_Bird_t01.wav,8,y,wren,field,25,-155,a,62.1,-150,30,5
localized_8m_wY_Bird_t01.wav,localized_8m_wY_Bird_t01.wav,8,y,wren,field,25,-60,y-d,77.5,-65,-160,-5
localized_8m_wY_Bird_t02.wav,localized_8m_wY_Bird_t02.wav,8,y,wren,field,25,30,y,6.7,30,na,0
localized_8m_wY_Bird_t02.wav,localized_8m_wY_Bird_t02.wav,8,y,wren,field,25,30,y,15.7,35,na,5
localized_8m_wY_Bird_t02.wav,localized_8m_wY_Bird_t02.wav,8,y,wren,field,25,120,a,31.7,125,-135,5
localized_8m_wY_Bird_t02.wav,localized_8m_wY_Bird_t02.wav,8,y,wren,field,25,165,a,46.7,175,80,10
localized_8m_wY_Bird_t02.wav,localized_8m_wY_Bird_t02.wav,8,y,wren,field,25,-155,a,62.3,-150,30,5
localized_8m_wY_Bird_t02.wav,localized_8m_wY_Bird_t02.wav,8,y,wren,field,25,-60,a,79.1,-65,-155,-5
localized_8m_wY_Pink_t01.wav,localized_8m_wY_Pink_t01.wav,8,y,pink,field,25,30,y,20.7,35,na,5
localized_8m_wY_Pink_t01.wav,localized_8m_wY_Pink_t01.wav,8,y,pink,field,25,120,y,38.1,120,na,0
localized_8m_wY_Pink_t01.wav,localized_8m_wY_Pink_t01.wav,8,y,pink,field,25,165,y,55.1,175,na,10
localized_8m_wY_Pink_t01.wav,localized_8m_wY_Pink_t01.wav,8,y,pink,field,25,-155,y-d,70.1,-150,30,5
localized_8m_wY_Pink_t01.wav,localized_8m_wY_Pink_t01.wav,8,y,pink,field,25,-60,y,86.5,-60,na,0
localized_8m_wY_Pink_t01.wav,localized_8m_wY_Pink_t01.wav,8,y,pink,field,25,30,s-m,na,na,na,na
localized_8m_wY_Pink_t02.wav,localized_8m_wY_Pink_t02.wav,8,y,pink,field,25,30,s,6.1,30,na,0
localized_8m_wY_Pink_t02.wav,localized_8m_wY_Pink_t02.wav,8,y,pink,field,25,30,y,14.9,35,na,5
localized_8m_wY_Pink_t02.wav,localized_8m_wY_Pink_t02.wav,8,y,pink,field,25,120,y,31.3,120,na,0
localized_8m_wY_Pink_t02.wav,localized_8m_wY_Pink_t02.wav,8,y,pink,field,25,165,y,46.3,175,na,10
localized_8m_wY_Pink_t02.wav,localized_8m_wY_Pink_t02.wav,8,y,pink,field,25,-60,y,77.7,-60,na,0
localized_8m_wY_Pink_t02.wav,localized_8m_wY_Pink_t02.wav,8,y,pink,field,25,-155,a,na,na,30,na
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,1,n,1000,freq-dep,27,30,s,0.5,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,1,n,1000,freq-dep,27,30,y,13.7,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,1,n,1000,freq-dep,27,120,y,28.7,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,1,n,1000,freq-dep,27,165,y,43.7,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,1,n,1000,freq-dep,27,-150,y,62.7,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,NewCaseOff-1000Hz.wav,1,n,1000,freq-dep,27,-60,y,73.9,-65,na,-5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,1,n,100,freq-dep,27,30,s,-0.3,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,1,n,100,freq-dep,27,30,y,13.1,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,1,n,100,freq-dep,27,120,y,28.1,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,1,n,100,freq-dep,27,165,y,43.1,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,1,n,100,freq-dep,27,-150,y,58.1,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,NewCaseOff-100Hz.wav,1,n,100,freq-dep,27,-60,y,73.1,-60,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,1,n,2000,freq-dep,27,30,s,0.1,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,1,n,2000,freq-dep,27,30,y,13.9,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,1,n,2000,freq-dep,27,120,y,28.7,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,1,n,2000,freq-dep,27,165,y,43.7,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,1,n,2000,freq-dep,27,-150,y,58.5,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,NewCaseOff-2000Hz.wav,1,n,2000,freq-dep,27,-60,y,73.5,-60,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,1,n,4000,freq-dep,27,30,s,-0.3,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,1,n,4000,freq-dep,27,30,y,12.9,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,1,n,4000,freq-dep,27,120,y,27.3,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,1,n,4000,freq-dep,27,165,y,42.5,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,1,n,4000,freq-dep,27,-150,y,57.1,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,NewCaseOff-4000Hz.wav,1,n,4000,freq-dep,27,-60,y,72.1,-60,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,NewCaseOff-400Hz.wav,1,n,400,freq-dep,27,30,s,0.5,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,NewCaseOff-400Hz.wav,1,n,400,freq-dep,27,30,y,14.3,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,NewCaseOff-400Hz.wav,1,n,400,freq-dep,27,120,y,28.1,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,NewCaseOff-400Hz.wav,1,n,400,freq-dep,27,165,y,44.3,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,NewCaseOff-400Hz.wav,1,n,400,freq-dep,27,-150,y,59.3,-150,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,NewCaseOff-400Hz.wav,1,n,400,freq-dep,27,-60,y,74.3,-65,na,-5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,NewCaseOff-500Hz.wav,1,n,500,freq-dep,27,30,s,0.3,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,NewCaseOff-500Hz.wav,1,n,500,freq-dep,27,30,y,13.7,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,NewCaseOff-500Hz.wav,1,n,500,freq-dep,27,120,y,28.9,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,NewCaseOff-500Hz.wav,1,n,500,freq-dep,27,165,y,43.3,165,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,NewCaseOff-500Hz.wav,1,n,500,freq-dep,27,-150,y,58.7,-155,na,-5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,NewCaseOff-500Hz.wav,1,n,500,freq-dep,27,-60,y,74.1,-60,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,NewCaseOff-6000Hz.wav,1,n,6000,freq-dep,27,30,s,1.1,35,na,5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,NewCaseOff-6000Hz.wav,1,n,6000,freq-dep,27,30,d,14.1,35,-160,5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,NewCaseOff-6000Hz.wav,1,n,6000,freq-dep,27,165,y,43.9,160,na,-5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,NewCaseOff-6000Hz.wav,1,n,6000,freq-dep,27,-150,y,58.7,-155,na,-5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,NewCaseOff-6000Hz.wav,1,n,6000,freq-dep,27,-60,y-d,72.9,-60,-175,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,NewCaseOff-6000Hz.wav,1,n,6000,freq-dep,27,120,a,na,na,15,na
localized_202305LocalisationTest-1mIndoors-NewCaseOff-7000Hz.wav,NewCaseOff-7000Hz.wav,1,n,7000,freq-dep,27,30,s,7.8,35,na,5
localized_202305LocalisationTest-1mIndoors-NewCaseOff-7000Hz.wav,NewCaseOff-7000Hz.wav,1,n,7000,freq-dep,27,120,a,na,na,30,na
localized_202305LocalisationTest-1mIndoors-NewCaseOff-7000Hz.wav,NewCaseOff-7000Hz.wav,1,n,7000,freq-dep,27,-60,a,na,na,40,na
localized_202305LocalisationTest-1mIndoors-NewCaseOff-7000Hz.wav,NewCaseOff-7000Hz.wav,1,n,7000,freq-dep,27,30,m,na,na,na,na
localized_202305LocalisationTest-1mIndoors-NewCaseOff-7000Hz.wav,NewCaseOff-7000Hz.wav,1,n,7000,freq-dep,27,165,m,na,na,na,na
localized_202305LocalisationTest-1mIndoors-NewCaseOff-7000Hz.wav,NewCaseOff-7000Hz.wav,1,n,7000,freq-dep,27,-150,m,na,na,na,na
localized_202305LocalisationTest-1mIndoors-NewCaseOff-EurasianWren1.wav,NewCaseOff-EurasianWren1.wav,1,n,wren,freq-dep,27,30,s,0.3,30,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-EurasianWren1.wav,NewCaseOff-EurasianWren1.wav,1,n,wren,freq-dep,27,30,y-d,13.9,30,-150,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-EurasianWren1.wav,NewCaseOff-EurasianWren1.wav,1,n,wren,freq-dep,27,120,y,26.9,120,na,0
localized_202305LocalisationTest-1mIndoors-NewCaseOff-EurasianWren1.wav,NewCaseOff-EurasianWren1.wav,1,n,wren,freq-dep,27,165,y,41.9,165,na,0
